id_fabricante;cnpj_fabricante;fabricante
Fab00084;44734671000828;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA
Fab00085;33078528000132;TERRENT DO BRASIL LTDA
Fab00086;57507378000608;EMS S/A
Fab00087;60665981000541;UNIÃO QUIMICA FARMACEUTICA NACIONAL S/A
Fab00088;33349473000158;FARMOQUIMICA S A
Fab00089;11082598000121;BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS
Fab00090;04301884000175;AUROBINDO PHARMA INDUSTRIA FARMACEUTICA LIMITADA
Fab00091;43940618000144;ELI LILLY DO BRASIL LTDA
Fab00092;07898671000160;SHIRE FARMACEUTICA BRASIL LTDA.
Fab00093;38756680000140;DKT DO BRASIL PRODUTOS DE USO PESSOAL LTDA
Fab00094;49324221000104;FRESENIUS KABI BRASIL LTDA.
Fab00095;04067132000191;FAREX DO BRASIL LTDA
Fab00096;03978166000175;DR. REDDY'S FARMACEUTICA DO BRASIL LTDA
Fab00097;00376959000126;IFAL IND E COM DE PRODUTOS FARMACEUTICOS LTDA
Fab00098;10555143000113;GRUNENTHAL DO BRASIL FARMACEUTICA LTDA.
Fab00099;27376022000107;PRIME CIRURGICA DISTRIBUIDORA DE MATERIAIS E EQUIPAMENTOS MEDICOS
Fab00100;45987013000134;MERCK SHARP & DOHME FARMACEUTICA LTDA
Fab00101;21561931000309;LABORATORIO SANOBIOL LTDA
Fab00102;17318477000112;FORTCLEAN DESCARTAVEIS LTDA - EPP
Fab00103;61190096000869;EUROFARMA LABORATORIOS S.A.
Fab00104;29346301000153;LABORATORIO FARMACEUTICO VITAMED LTDA
Fab00105;09458251000199;LUPLAST INDUSTRIA E COMERCIO DE LUVAS DESCARTAVEIS LTDA
Fab00106;42374207000176;LABORATÓRIOS SERVIER DO BRASIL LTDA
Fab00107;55980684000127;ZODIAC-PRODUTOS FARMACEUTICOS S.A
Fab00108;22966065000129;NUTRIEX INDUSTRIA DE NUTRACEUTICOS LTDA
Fab00109;02513899000171;GRIFOLS BRASIL LTDA
Fab00110;82277955000155;NOVO NORDISK FARMACEUTICA DO BRASIL LTDA
Fab00111;57532343000114;L M FARMA INDUSTRIA E COMERCIO LTDA
Fab00112;64711500000114;MEIZLER BIOPHARMA S/A
Fab00113;05854999000150;CICLO FARMA INDUSTRIA QUIMICA LTDA - EPP
Fab00114;01005728000179;LABOR IMPORT COMERCIAL IMP EXP LTDA
Fab00115;33009945002339;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S A
Fab00116;14806008000154;MOMENTA FARMACEUTICA LTDA.
Fab00117;68032192000151;BIONATUS LABORATORIO BOTANICO LTDA
Fab00118;64171697000146;ACCORD FARMACÊUTICA LTDA
Fab00119;09545589000188;MABRA FARMACEUTICA LTDA
Fab00120;11643096000122;MYLAN LABORATORIOS LTDA.
Fab00121;10351637000186;MEAD JOHNSON DO BRASIL COMERCIO E IMPORTACAO DE PRODUTOS DE NUTRIC
Fab00122;92265552000140;MULTILAB INDUSTRIAL E COMERCIO DE PRODUTOS FARMAC LTDA
Fab00123;18466544000109;PROTECTOR INDUSTRIA E COMERCIO DE PRODUTOS MEDICO HOSPITALARES LTD
Fab00124;21172673000107;ERS INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA LTDA - E
Fab00125;27608037000153;DEJAMARO INDUSTRIA E COMERCIO DE PRODUTOS MEDICOS - HOSPITALARES L
Fab00126;03225411000173;MISSNER E MISSNER LTDA
Fab00127;03426484000204;SALDANHA RODRIGUES LTDA
Fab00128;10192693000115;NEW IMPLA COMERCIO DE MATERIAIS MEDICOS CIRURGICOS LTDA
Fab00129;19570720000382;HIPOLABOR FARMACEUTICA LTDA
Fab00130;60412327001336;ALCON LABORATORIOS BRASIL LTDA
Fab00131;60831658002110;BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.
Fab00132;01571702000198;HALEX ISTAR INDÚSTRIA FARMACÊUTICO LTDA
Fab00133;56998701001279;ABBOTT LABORATÓRIOS DO BRASIL LTDA
Fab00134;72593791000111;NOVA QUIMICA FARMACEUTICA LTDA
Fab00135;60665981000975;UNIAO QUIMICA FARMACEUTICA NACIONAL S A
Fab00136;43426626000924;ALLERGAN PRODUTOS FARMACÊUTICOS LTDA
Fab00137;58430828000160;BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA
Fab00138;49324221001690;FRESENIUS KABI BRASIL LTDA.
Fab00139;06629745000109;NOVAFARMA INDUSTRIA FARMACEUTICA LTDA
Fab00140;29785870000103;LABORATORIO NEO QUIMICA COMERCIO E INDUSTRIA S.A
Fab00141;05044984000126;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
Fab00142;19570720000706;HIPOLABOR FARMACEUTICA LTDA
Fab00143;32407538000101;INDUSTRIA FRONTINENSE DE LATEX SA
Fab00144;30082076000174;ABSOLUTA SAUDE IMP. EXP. E COMERCIO DE PRODUTOS PARA SAUDE EIRELI
Fab00145;60663705000110;INDUSTRIA DE ATADURAS GESSADAS CRISTAL LTDA - EPP
Fab00146;12936659000133;KEVENOLL DO BRASIL PRODUTOS MEDICOS HOSPITALARES LTDA
Fab00147;03033589000112;OLIMED MATERIAL HOSPITALAR LTDA
Fab00148;01057428000214;DESCARPACK DESCARTAVEIS DO BRASIL LTDA
Fab00149;01057428000133;DESCARPACK DESCARTAVEIS DO BRASIL LTDA
Fab00150;10268780000109;MEDIX BRASIL PRODUTOS HOSPITALARES E ODONTOLOGICOS LTDA
Fab00151;20722331000142;LUIZA SCHULTZ CORTES FREIRE RAMOS 05435615500
Fab00152;02635522000195;JALLES MACHADO S.A.
Fab00153;08745092000140;BECARI COMERCIAL DE PRODUTOS E EQUIPAMENTOS PARA LABORATORIOS LTDA
Fab00154;01564260000152;WASSER FARMA LTDA
Fab00155;60412327000526;ALCON LABORATÓRIOS DO BRASIL LTDA
Fab00156;60397775000840;NYCOMED PHARMA LTDA
Fab00157;31401798000107;DENTAL BH BRASIL COMERCIO DE PRODUTOS ODONTO-MEDICO-HOSPITALAR EIR
Fab00158;61099966000112;SANOFI SYNTHELABO LTDA
Fab00159;34526327000113;RIOQUIMICA INDUSTRIA QUIMICA LTDA - ME
Fab00160;02400787000104;A C E INDUSTRIA E COMERCIO LTDA
Fab00161;04506487000130;HELIANTO FARMACEUTICA LTDA - EPP
Fab00162;33112665000146;DFL INDUSTRIA E COMERCIO S/A
Fab00163;49601107000427;FRESENIUS HEMOCARE BRASIL LTDA.
Fab00164;12918336000117;BE CARE COMERCIO DE PRODUTOS MEDICO HOSPITALARES LTDA - EPP
Fab00165;11232867000199;FIRST IMPORT COMERCIO INTERNACIONAL LTDA
Fab00166;73856593001057;PRATI, DONADUZZI & CIA LTDA
