id_instituicao;cnpj_instituicao;nome_instituicao;municipio_instituicao;uf
Ins00065;14792165000158;FUNDO MUNICIPAL DE SAUDE DE VITORIA;VITORIA;ES
Ins00066;46523247000193;MUNICIPIO DE DIADEMA;DIADEMA;SP
Ins00067;76950096000110;MUNICIPIO DE UBIRATA;UBIRATA;PR
Ins00068;22855159000120;MUNICIPIO DE CABIXI;CABIXI;RO
Ins00069;02875123000100;MUNICIPIO DE AGRICOLANDIA - SECRETARIA MUNICIPAL DE SAUDE;AGRICOLANDIA;PI
Ins00070;44751725000197;MUNICIPIO DE SANTA CRUZ DA CONCEICAO;SANTA CRUZ DA CONCEICAO;SP
Ins00071;11084263000142;FUNDO MUNICIPAL DE SAUDE;PONTA PORA;MS
Ins00072;45355575000165;MUNICIPIO DE IBATE;IBATE;SP
Ins00073;12306005000126;FUNDO MUNICIPAL DE SAUDE;ITATUBA;PB
Ins00074;14814026000188;FUNDO MUNICIPAL DE SAUDE DE SERRA;SERRA;ES
Ins00075;87843819000107;MUNICIPIO DE FLORES DA CUNHA;FLORES DA CUNHA;RS
Ins00076;07417536000156;MUNICIPIO DE CURRAL NOVO DO PIAUI - SECRETARIA DE SAUDE;CURRAL NOVO DO PIAUI;PI
Ins00077;08935681000191;FUNDO MUNICIPAL DE SAUDE DE FLORIANOPOLIS;FLORIANOPOLIS;SC
Ins00078;08931506000126;FUNDO MUNICIPAL DE SAUDE DE UMUARAMA;UMUARAMA;PR
Ins00079;45339363000194;MUNICIPIO DE PORTO FERREIRA;PORTO FERREIRA;SP
Ins00080;49979255000137;MUNICIPIO DE ITAPOLIS;ITAPOLIS;SP
Ins00081;03517102000177;FUNDO ESPECIAL DE SAUDE;CAMPO GRANDE;MS
Ins00082;76381854000127;MUNICIPIO DE CRUZEIRO DO OESTE;CRUZEIRO DO OESTE;PR
Ins00083;12157728000100;FUNDO MUNICIPAL DE SAUDE DE VILA VELHA;VILA VELHA;ES
Ins00084;10319517000100;FUNDO MUNICIPAL DE SAUDE DE PORTO DA FOLHA;PORTO DA FOLHA;SE
Ins00085;11401857000130;FUNDO MUNICIPAL DE SAUDE;MONTE ALEGRE;PA
Ins00086;14814139000183;FUNDACAO ESTATAL DE ATENCAO ESPECIALIZADA EM SAUDE DE CURITIBA (FEAES -;CURITIBA;PR
Ins00087;11706451000165;FUNDO MUNICIPAL DE SAUDE -PAROBE/RS;PAROBE;RS
Ins00088;46362927000172;MUNICIPIO DE BROTAS;BROTAS;SP
Ins00089;76002666000140;MUNICIPIO DE PIEN;PIEN;PR
Ins00090;10277035000126;FUNDO MUNICIPAL DE SAUDE;TABOLEIRO GRANDE;RN
Ins00091;09090689000167;MUNICIPIO DE SANTA LUZIA;SANTA LUZIA;PB
Ins00092;11913577000100;FUNDO MUNICIPAL DE SAUDE DE ALTO ALEGRE DOS PARECIS;ALTO ALEGRE DOS PARECIS;RO
Ins00093;76105600000186;MUNICIPIO DE CAMPINA GRANDE DO SUL;CAMPINA GRANDE DO SUL;PR
Ins00094;95719373000123;MUNICIPIO DE MERCEDES;MERCEDES;PR
Ins00095;10091569000163;MUNICIPIO DE SANTA CRUZ DO CAPIBARIBE;SANTA CRUZ DO CAPIBARIBE;PE
Ins00096;08778268000160;SECRETARIA DE ESTADO DA SAUDE - SES;JOAO PESSOA;PB
